shortDate,Time,Benutzer,kleine Änderung,Kommentar,Größenänderung in Bytes,Größe in Bytes,ID,Date&Time
2018-09-10,09:11,Hnsjrgnweis,,→‎Geschichte des Populismus,+106‎ ,66.573,180788681,2018-09-10T09:11:00Z
2018-09-10,08:58,Hnsjrgnweis,,→‎Geschichte des Populismus:  Lateinamerika,+1.827‎ ,66.467,180788446,2018-09-10T08:58:00Z
2018-09-10,08:41,Hnsjrgnweis,,→‎Populismus und Populismuskritik als Strategie,+18‎ ,64.64,180788167,2018-09-10T08:41:00Z
2018-09-10,07:30,Ot,,typo,0‎ ,64.622,180787225,2018-09-10T07:30:00Z
2018-09-09,18:20,Hnsjrgnweis,,→‎Populismus und Populismuskritik als Strategie,+12‎ ,64.622,180773381,2018-09-09T18:20:00Z
2018-09-09,18:18,Hnsjrgnweis,,→‎Populismus und Populismuskritik als Strategie,+3‎ ,64.61,180773327,2018-09-09T18:18:00Z
2018-09-09,18:17,Hnsjrgnweis,,"→‎Emotionale Aspekte: Furcht vor Abstieg, Entfremdung und Denationalisierung",-80‎ ,64.607,180773306,2018-09-09T18:17:00Z
2018-09-09,18:16,Hnsjrgnweis,,→‎Populismus und Populismuskritik als Strategie,-80‎ ,64.687,180773231,2018-09-09T18:16:00Z
2018-09-09,18:15,Hnsjrgnweis,,→‎Populismus und Populismuskritik als Strategie,+576‎ ,64.767,180773187,2018-09-09T18:15:00Z
2018-09-09,18:10,Hnsjrgnweis,,→‎Populismus und Populismuskritik als Strategie,+2‎ ,64.191,180773014,2018-09-09T18:10:00Z
2018-09-09,18:10,Hnsjrgnweis,,→‎Populismus als Strategie,+733‎ ,64.189,180773003,2018-09-09T18:10:00Z
2018-09-09,17:54,Hnsjrgnweis,k,→‎Weitere,-1‎ ,63.456,180772548,2018-09-09T17:54:00Z
2018-09-09,17:53,Hnsjrgnweis,,"mehrere Überarbeitungen: Umstellungen, Ergänzungen (Ursachen), Zuspitzungen (Modernisierung oder Antimodernisierung), Beseitigung der Redundanz bezüglich der Darst. des Populismus in den USA",+1‎ ,63.457,180772531,2018-09-09T17:53:00Z
2018-09-09,17:51,Hnsjrgnweis,,→‎Emotionale Aspekte,+388‎ ,63.456,180772470,2018-09-09T17:51:00Z
2018-09-09,17:45,Hnsjrgnweis,,→‎Populismus als Modernisierungsbewegung oder Reaktion auf Modernisierung?,+893‎ ,63.068,180770690,2018-09-09T17:45:00Z
2018-09-09,15:24,Hnsjrgnweis,,→‎„Populism“ in den Vereinigten Staaten als Modernisierungsbewegung oder Reaktion auf Modernisierung?,-1.474‎ ,62.175,180766444,2018-09-09T15:24:00Z
2018-09-09,15:21,Hnsjrgnweis,,→‎Geschichte des Populismus,+852‎ ,63.649,180766378,2018-09-09T15:21:00Z
2018-09-09,15:17,Hnsjrgnweis,,→‎„Populism“ in den Vereinigten Staaten als Modernisierungsbewegung?,+33‎ ,62.797,180766300,2018-09-09T15:17:00Z
2018-09-09,15:15,Hnsjrgnweis,,→‎„Populism“ in den Vereinigten Staaten als Modernisierungsbewegung?,+336‎ ,62.764,180766269,2018-09-09T15:15:00Z
2018-09-09,15:10,Hnsjrgnweis,,→‎Weitere,+11‎ ,62.428,180766160,2018-09-09T15:10:00Z
2018-09-09,15:08,Hnsjrgnweis,,→‎Weitere,+1.184‎ ,62.417,180766118,2018-09-09T15:08:00Z
2018-09-09,14:54,Hnsjrgnweis,,→‎Sozioökonomische Ursachen,+42‎ ,61.233,180765817,2018-09-09T14:54:00Z
2018-09-08,23:56,Hnsjrgnweis,,→‎Sozioökonomische Ursachen,-288‎ ,61.191,180750653,2018-09-08T23:56:00Z
2018-09-08,23:54,Hnsjrgnweis,,→‎Ursachen,+44‎ ,61.479,180750612,2018-09-08T23:54:00Z
2018-09-08,23:47,Hnsjrgnweis,,→‎Sozioökonomische Ursachen,+111‎ ,61.435,180750498,2018-09-08T23:47:00Z
2018-09-08,23:45,Hnsjrgnweis,,,+40‎ ,61.324,180750454,2018-09-08T23:45:00Z
2018-09-08,23:38,Hnsjrgnweis,,→‎Geschichte des Populismus,0‎ ,61.284,180750325,2018-09-08T23:38:00Z
2018-09-08,23:35,Hnsjrgnweis,,→‎„Populism“ in den Vereinigten Staaten,+6‎ ,61.284,180750265,2018-09-08T23:35:00Z
2018-09-08,23:34,Hnsjrgnweis,,→‎Sozioökonomische Ursachen,+96‎ ,61.278,180750238,2018-09-08T23:34:00Z
2018-09-08,23:27,Hnsjrgnweis,,→‎Sozioökonomische Ursachen,+622‎ ,61.182,180750125,2018-09-08T23:27:00Z
2018-09-08,13:08,Hnsjrgnweis,,→‎Einleitung,+2.515‎ ,60.56,180735716,2018-09-08T13:08:00Z
2018-09-08,12:24,Hnsjrgnweis,,→‎Einleitung,+1.002‎ ,58.045,180734863,2018-09-08T12:24:00Z
2018-08-22,21:40,Aka,k,→‎Literatur:  Abkürzung korrigiert,+6‎ ,57.043,180245821,2018-08-22T21:40:00Z
2018-08-22,15:05,Benowar,,→‎Literatur,+127‎ ,57.037,180235224,2018-08-22T15:05:00Z
2018-08-17,14:47,Phi,,Shoshone rückgängig gemacht; siehe Diskussion,-524‎ ,56.91,180095792,2018-08-17T14:47:00Z
2018-08-10,11:12,Shoshone,,"Wer dekretiert, dass ""wissenschaftliche Literatur"" einem Wissenschaftler vorzuziehen ist? Populismus als ""Kanarienvogel"" für Politik ist ein diskutabler Ansatz!",+524‎ ,57.434,179885729,2018-08-10T11:12:00Z
2018-08-10,09:37,Phi,,Shoshone rückgängig gemacht; bitte nur wissenschaftliche Literartur,-524‎ ,56.91,179883391,2018-08-10T09:37:00Z
2018-08-09,22:25,Shoshone,,→‎Einleitung:  Nida-Rümelin-Zitat eingef.,+524‎ ,57.434,179875691,2018-08-09T22:25:00Z
2018-06-20,20:21,Benatrevqre,k,format,0‎ ,56.91,178482446,2018-06-20T20:21:00Z
2018-06-20,19:31,Benatrevqre,k,,-1‎ ,56.91,178480964,2018-06-20T19:31:00Z
2018-06-20,19:31,Benatrevqre,k,,+1‎ ,56.911,178480918,2018-06-20T19:31:00Z
2018-06-20,19:17,Benatrevqre,,"dieser Link auch noch; Namenswiederholung vermieden; typos, link",+20‎ ,56.91,178480463,2018-06-20T19:17:00Z
2018-06-20,09:58,Phi,,"eine Verlinkung reicht, Layout",-36‎ ,56.89,178467268,2018-06-20T09:58:00Z
2018-06-20,09:37,Wiki-vr.mp,k,(some) wiki links,+14‎ ,56.926,178466860,2018-06-20T09:37:00Z
2018-06-20,09:33,Wiki-vr.mp,k,→‎Sozialwissenschaft:  + Jan-Werner Müller,+792‎ ,56.912,178466796,2018-06-20T09:33:00Z
2018-06-15,23:59,PieRat,k,105.8.6.244 rückgängig gemacht; ?,+8‎ ,56.12,178356485,2018-06-15T23:59:00Z
2018-06-15,23:57,105.8.6.244,,"→‎Rechtspopulismus:  Die Geschichte selbst ist da ja nicht eigentlich der Akteur, die jahrzehntelange Umerziehung war da wesentlich wichtiger.",-8‎ ,56.112,178356450,2018-06-15T23:57:00Z
2018-06-13,19:58,Horst Gräbner,k,"2003:72:AE4C:B231:6DD4:3BA6:3F18:22E1 (<a href=""/w/index.php?title=Benutzer_Diskussion:2003:72:AE4C:B231:6DD4:3BA6:3F18:22E1&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:2003:72:AE4C:B231:6DD4:3BA6:3F18:22E1 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Phi"" title=""Benutzer:Phi"">Phi zurückgesetzt",0‎ ,56.12,178289296,2018-06-13T19:58:00Z
2018-06-13,19:57,2003:72:ae4c:b231:6dd4:3ba6:3f18:22e1,,→‎Begriff,0‎ ,56.12,178289281,2018-06-13T19:57:00Z
2018-06-03,19:41,Phi,,→‎Literatur:   benannt nach Ronald Fill?,+2‎ ,56.12,178005005,2018-06-03T19:41:00Z
2018-06-03,13:53,Phi,,"→‎„Populism“ in den Vereinigten Staaten:   Larry Schweikart: ''Populism.'' In: Peter Knight (Hrsg.): ''Conspiracy Theories in American History. An Encyclopedia''. ABC Clio, Santa Barbara, Denver und London 2003, Bd. 2, S. 589 ff",+267‎ ,56.118,177993685,2018-06-03T13:53:00Z
2018-06-03,12:06,Phi,,→‎Populismus und Verschwörungstheorien,-1‎ ,55.851,177989751,2018-06-03T12:06:00Z
2018-06-03,06:42,Ot,,"→‎Populismus und Verschwörungstheorien:  absätze, typo, link",+21‎ ,55.852,177983103,2018-06-03T06:42:00Z
2018-06-02,17:19,Phi,,→‎Populismus und Verschwörungstheorien:   gliederungsbene korrigiert,-2‎ ,55.831,177969227,2018-06-02T17:19:00Z
2018-06-02,17:10,Phi,,→‎Populismus und Verschwörungstheorien:   neu,+5.151‎ ,55.833,177969055,2018-06-02T17:10:00Z
2018-03-25,18:13,Benatrevqre,,"typo, form",-3‎ ,50.682,175389267,2018-03-25T18:13:00Z
2018-03-24,13:05,Phi,,"→‎Geschichte:  teilrevert, war duechaus brauchbar; überarbeitet, ein Beleg ergänzt",+968‎ ,50.685,175339015,2018-03-24T13:05:00Z
2018-03-24,02:49,Allander,,Eigenrevert,-1.318‎ ,49.717,175329003,2018-03-24T02:49:00Z
2018-03-24,00:53,Allander,k,"Phi (<a href=""/wiki/Benutzer_Diskussion:Phi"" title=""Benutzer Diskussion:Phi"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Allander"" title=""Benutzer:Allander"">Allander zurückgesetzt",+430‎ ,51.035,175326614,2018-03-24T00:53:00Z
2018-03-23,23:32,Phi,,Etymologie verschoben - in der Einleitung hat das nichts verloren,-430‎ ,50.605,175324145,2018-03-23T23:32:00Z
2018-03-23,22:45,Allander,k,Korr,-4‎ ,51.035,175322419,2018-03-23T22:45:00Z
2018-03-23,21:47,Allander,,,-1.145‎ ,51.039,175320657,2018-03-23T21:47:00Z
2018-03-23,20:56,Allander,,Lechts- Rinks-,+89‎ ,52.184,175319147,2018-03-23T20:56:00Z
2018-03-23,19:21,Allander,k,linkfix,0‎ ,52.095,175315790,2018-03-23T19:21:00Z
2018-03-23,17:39,Allander,,"Phi rückgängig gemacht; Wenn Theoriefindung dann ist das Theoriefindung der Bundeszentrale für politische Bildung. Ich hab es nur umformuliert, der Inhalt und Sinn ist exakt der Gleiche.",+1.299‎ ,52.095,175312632,2018-03-23T17:39:00Z
2018-03-23,17:36,Phi,,- Theoriefindung,-1.299‎ ,50.796,175312542,2018-03-23T17:36:00Z
2018-03-23,17:27,Allander,k,exlink- konkretere beschreibung,+155‎ ,52.095,175312311,2018-03-23T17:27:00Z
2018-03-23,17:16,Allander,,"Begriffsdefinition am Anfang, wissenschaftlich belegt.",+2.223‎ ,51.94,175312015,2018-03-23T17:16:00Z
2018-03-18,06:18,Altkatholik62,,"ein Wort entfernt, was sind „einige“?",-8‎ ,49.717,175125371,2018-03-18T06:18:00Z
2018-03-13,20:41,Aka,k,"→‎Rechtspopulismus:  Leerzeichen vor <a href=""/wiki/Prozentzeichen"" title=""Prozentzeichen"">Prozentzeichen eingefügt",+1‎ ,49.725,174982696,2018-03-13T20:41:00Z
2018-03-13,18:30,130.75.236.60,,→‎Rechtspopulismus,+190‎ ,49.724,174979548,2018-03-13T18:30:00Z
2018-03-13,10:19,Logograph,k,"109.40.128.167 (<a href=""/w/index.php?title=Benutzer_Diskussion:109.40.128.167&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:109.40.128.167 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Serols"" title=""Benutzer:Serols"">Serols zurückgesetzt",-5‎ ,49.534,174965201,2018-03-13T10:19:00Z
2018-03-13,10:19,109.40.128.167,,Grammatik korrigiert,+5‎ ,49.539,174965199,2018-03-13T10:19:00Z
2018-03-13,10:17,Serols,k,"109.40.128.167 (<a href=""/w/index.php?title=Benutzer_Diskussion:109.40.128.167&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:109.40.128.167 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Aka"" title=""Benutzer:Aka"">Aka zurückgesetzt",-18‎ ,49.534,174965161,2018-03-13T10:17:00Z
2018-03-13,10:17,109.40.128.167,,,+18‎ ,49.552,174965157,2018-03-13T10:17:00Z
2018-02-27,15:30,Aka,k,→‎Rechtspopulismus:  Tippfehler entfernt,+2‎ ,49.534,174443992,2018-02-27T15:30:00Z
2018-02-27,12:08,Sitacu,k,→‎Rechtspopulismus,-2‎ ,49.532,174438513,2018-02-27T12:08:00Z
2018-02-27,08:59,Anidaat,,→‎Rechtspopulismus,+636‎ ,49.534,174434201,2018-02-27T08:59:00Z
2018-02-19,17:23,Centenier,k,"91.14.135.151 (<a href=""/w/index.php?title=Benutzer_Diskussion:91.14.135.151&amp;action=edit&amp;redlink=1"" class=""new"" title=""Benutzer Diskussion:91.14.135.151 (Seite nicht vorhanden)"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Phi"" title=""Benutzer:Phi"">Phi zurückgesetzt",+242‎ ,48.898,174188989,2018-02-19T17:23:00Z
2018-02-19,17:22,91.14.135.151,,suggestiv,-242‎ ,48.656,174188970,2018-02-19T17:22:00Z
2018-02-18,18:28,Phi,,"→‎Ursachen:  unbelegt, siehe WP:Q#Grundsätze",-248‎ ,48.898,174154081,2018-02-18T18:28:00Z
2018-02-18,16:15,62.204.165.222,,Das waren aber mehrere Änderungen,-3‎ ,49.146,174146347,2018-02-18T16:15:00Z
2018-02-18,15:17,Braveheart,,Änderung der IP wieder rein,+13‎ ,49.149,174144582,2018-02-18T15:17:00Z
2018-02-18,15:16,Braveheart,,"Siehe Disk, so macht das sicher keinen Sinn, einfach eine Auflistung einer Google-Suche im Artikel zu platzieren, um dann die Einleitung entsprechend den eigenen Vorlieben verändern zu können.",-5.623‎ ,49.136,174144553,2018-02-18T15:16:00Z
2018-02-18,14:17,62.204.165.222,,,+12‎ ,54.759,174142614,2018-02-18T14:17:00Z
2018-02-18,14:03,62.204.165.222,,→‎Sozialwissenschaft,-2‎ ,54.747,174142132,2018-02-18T14:03:00Z
2018-02-18,13:42,Allander,,"Phi rückgängig gemacht; Eindeutige Def, weitere Verwendung und akt. Diskurs wieder rein, siehe Disk.",+5.613‎ ,54.749,174141535,2018-02-18T13:42:00Z
2018-02-18,12:13,Phi,,Allander rückgängig gemacht; Einfügen bitte erst bei Konsens,-5.613‎ ,49.136,174138833,2018-02-18T12:13:00Z
2018-02-18,12:05,Allander,,"Ot rückgängig gemacht; Formatfehler korrigiert. Am Anfang eine Erklärung des Begriffs lt. Duden, eine Darstellung des aktuellen Diskurses und die Bedeutung in der Literatur ist fraglos eine Verbesserung.",+5.613‎ ,54.749,174138610,2018-02-18T12:05:00Z
2018-02-18,11:55,Ot,,"Allander rückgängig gemacht;  keine verbesserung, format fehler - lemma nicht fett - bitte disk benutzen",-5.601‎ ,49.136,174138323,2018-02-18T11:55:00Z
2018-02-18,11:52,Allander,,"Ot rückgängig gemacht; Am Anfang eine Erklärung des Begriffs lt. Duden, eine Darstellung des aktuellen Diskurses und die Bedeutung in der Literatur ist keine Verbesserung?",+5.601‎ ,54.737,174138233,2018-02-18T11:52:00Z
2018-02-18,11:45,Ot,,"Allander rückgängig gemacht;  Bitte Änderung begründen – siehe „<a href=""/wiki/Hilfe:Zusammenfassung_und_Quellen"" title=""Hilfe:Zusammenfassung und Quellen"">Hilfe:Zusammenfassung und Quellen“",-5.601‎ ,49.136,174138049,2018-02-18T11:45:00Z
2018-02-18,11:28,Allander,k,"Ot (<a href=""/wiki/Benutzer_Diskussion:Ot"" title=""Benutzer Diskussion:Ot"">Diskussion) auf die letzte Version von <a href=""/wiki/Benutzer:Allander"" title=""Benutzer:Allander"">Allander zurückgesetzt",+5.601‎ ,54.737,174137670,2018-02-18T11:28:00Z
2018-02-18,08:52,Ot,,"rv zu dieser Seite, zuletzt bearbeitet am 25. Dezember 2017 um 06:51 Uhr durch Ot - Format, imo keine verbesserung",-5.601‎ ,49.136,174135030,2018-02-18T08:52:00Z
2018-02-17,15:51,Allander,k,,+1‎ ,54.737,174111797,2018-02-17T15:51:00Z
